"","Ticker","Report.Date","Currency","Revenue","Cost.of.Revenue","Gross.Profit","Operating.Expenses","Selling..General...Administrative","Research...Development","Depreciation...Amortization.x","Operating.Income..Loss.","Non.Operating.Income..Loss.","Interest.Expense..Net","Pretax.Income..Loss...Adj.","Abnormal.Gains..Losses.","Pretax.Income..Loss.","Income.Tax..Expense..Benefit..Net","Income..Loss..from.Continuing.Operations","Net.Extraordinary.Gains..Losses.","Net.Income","Net.Income..Common.","Net.Income.Starting.Line","Non.Cash.Items","Change.in.Working.Capital","Change.in.Accounts.Receivable","Change.in.Inventories","Change.in.Accounts.Payable","Change.in.Other","Net.Cash.from.Operating.Activities","Change.in.Fixed.Assets...Intangibles","Net.Change.in.Long.Term.Investment","Net.Cash.from.Acquisitions...Divestitures","Net.Cash.from.Investing.Activities","Dividends.Paid","Cash.from..Repayment.of..Debt","Cash.from..Repurchase.of..Equity","Net.Cash.from.Financing.Activities","Net.Change.in.Cash","SimFinId","Fiscal.Year","Fiscal.Period","Publish.Date","Restated.Date","Shares..Basic.","Shares..Diluted.","Cash..Cash.Equivalents...Short.Term.Investments","Accounts...Notes.Receivable","Inventories","Total.Current.Assets","Property..Plant...Equipment..Net","Long.Term.Investments...Receivables","Other.Long.Term.Assets","Total.Noncurrent.Assets","Total.Assets","Payables...Accruals","Short.Term.Debt","Total.Current.Liabilities","Long.Term.Debt","Total.Noncurrent.Liabilities","Total.Liabilities","Share.Capital...Additional.Paid.In.Capital","Treasury.Stock","Retained.Earnings","Total.Equity","Total.Liabilities...Equity","Company.Name","IndustryId"
"6606","GM","2018-12-31","USD",1.47049e+11,-1.32954e+11,1.4095e+10,-9.65e+09,-9.65e+09,NA,NA,4.445e+09,4.104e+09,-6.55e+08,8.549e+09,NA,8.549e+09,-4.74e+08,8.075e+09,-7e+07,8.014e+09,7.916e+09,8.075e+09,-5.112e+09,-1.376e+09,NA,NA,NA,-1.376e+09,1.5256e+10,-1.4633e+10,2.288e+09,-8.3e+07,-2.0763e+10,-2.242e+09,1.1664e+10,2.672e+09,1.1454e+10,5.648e+09,125620,2018,"Q4","2019-02-06","2019-02-06",1.414e+09,1.432e+09,2.681e+10,6.549e+09,9.816e+09,7.5293e+10,8.2317e+10,NA,6.9729e+10,1.52046e+11,2.27339e+11,5.0346e+10,3.1891e+10,8.2237e+10,7.306e+10,1.02325e+11,1.84562e+11,2.5577e+10,NA,2.2322e+10,4.2777e+10,2.27339e+11,"General Motors Co",103005
"6623","GME","2019-01-31","USD",8285300000,-5977200000,2308100000,-3010100000,-2904500000,NA,-105600000,-7.02e+08,-51100000,-51100000,-753100000,NA,-753100000,-41700000,-794800000,121800000,-6.73e+08,-6.73e+08,-6.73e+08,944800000,-73600000,NA,NA,NA,NA,325100000,634200000,NA,0,635500000,-157400000,-12200000,-5100000,-174700000,771400000,44534,2018,"Q4","2019-04-02","2019-06-12",102300000,102100000,1624400000,134200000,1250500000,3127700000,321300000,NA,595300000,916600000,4044300000,1831900000,349200000,2181100000,471600000,5.27e+08,2708100000,27800000,NA,1362700000,1336200000,4044300000,"GameStop Corp.",103002
"6631","GMED","2018-12-31","USD",712969000,-159410000,553559000,-376675000,-311591000,-55496000,-9588000,176884000,19280000,13278000,196164000,-7559000,188605000,-32131000,156474000,NA,156474000,156474000,156474000,33407000,-49868000,NA,NA,NA,NA,181643000,-59697000,-153505000,-14825000,-193027000,NA,NA,39309000,32570000,20930000,617302,2018,"Q4","2019-02-21","2019-05-02",98538000,101454000,199937000,137067000,131254000,630681000,171873000,263117000,234999000,669989000,1300670000,86690000,NA,93520000,NA,21634000,115154000,299967000,NA,892721000,1185516000,1300670000,"GLOBUS MEDICAL INC",106004
"6641","GNTX","2018-12-31","USD",1834063697,-1143597005,690466692,-182341145,-75206283,-107134862,NA,508125547,13921400,NA,522046947,NA,522046947,-84163850,437883097,NA,437883097,437883097,437883097,11416734,932001,NA,NA,NA,NA,552418646,-85252477,-94965675,NA,-185821194,-116566639,-7.8e+07,-524740031,-719306670,-352709218,327200,2018,"Q4","2019-02-02","2019-02-22",259065451,260282328,386438277,213537799,225281599,850930254,498473766,137979082,598050966,1234503814,2085434068,141490144,0,169160919,NA,54521489,223682408,760883861,NA,1102468137,1861751660,2085434068,"GENTEX CORP",103005
"6642","GO","2018-12-31","USD",2287660000,-1592263000,695397000,-602521000,-557100000,NA,-45421000,92876000,-55362000,-55362000,37514000,-15662000,21852000,-5984000,15868000,NA,15868000,15868000,15868000,37661000,15230000,NA,NA,NA,NA,105811000,-63670000,NA,3749000,-73550000,-153587000,146613000,NA,-16999000,15262000,998534,2018,"Q4","2019-02-13","2020-03-25",68473000,68675000,21063000,2069000,198304000,240372000,304032000,NA,832458000,1136490000,1376862000,143575000,7349000,150924000,850019000,925987000,1076911000,287525000,NA,12426000,299951000,1376862000,"Grocery Outlet Holding Corp.",NA
"6646","GOLF","2018-12-31","USD",1633721000,-791370000,842351000,-670016000,-611883000,-51489000,-6644000,172335000,-22031000,-18402000,150304000,0,150304000,-47232000,103072000,NA,99872000,99872000,103072000,39601000,-19436000,NA,NA,NA,NA,163733000,-32801000,NA,-16902000,-49703000,-39057000,-79461000,0,-128883000,-16708000,370220,2018,"Q4","2019-02-28","2019-05-08",74828044,76199325,NA,186114000,361207000,664001000,228388000,NA,799232000,1027620000,1691621000,258322000,36545000,294867000,346953000,469770000,764637000,910965000,NA,72946000,926984000,1691621000,"Acushnet Holdings Corp.",103015
"6655","GOOD","2018-12-31","USD",106798000,NA,106798000,-71137000,-2358000,NA,-47620000,35661000,-26104000,-26176000,9557000,2763000,12320000,NA,12320000,NA,12320000,973000,12324000,-4895000,550000,NA,NA,NA,NA,55599000,-29518000,NA,NA,-34440000,-54565000,15180000,18531000,-21157000,2000,106972,2018,"Q4","2019-02-13","2019-02-13",29110509,29110509,6591000,NA,NA,13233000,768392000,NA,157150000,925542000,938775000,2704000,NA,12519000,566059000,586239000,598758000,560007000,NA,NA,340017000,938775000,"GLADSTONE COMMERCIAL CORP",109001
"6666","GOOG","2018-12-31","USD",1.36819e+11,-5.9549e+10,7.727e+10,-4.5878e+10,-2.4459e+10,-2.1419e+10,NA,3.1392e+10,8.592e+09,NA,3.9984e+10,-5.071e+09,3.4913e+10,-4.177e+09,3.0736e+10,NA,3.0736e+10,3.0736e+10,3.0736e+10,4.163e+09,4.908e+09,-2.169e+09,NA,1.067e+09,6.01e+09,4.7971e+10,-2.5041e+10,-3.724e+09,-1.491e+09,-2.8504e+10,NA,-6.1e+07,-9.075e+09,-1.3179e+10,5.986e+09,18,2018,"Q4","2019-02-05","2019-02-05",695239000,747600000,1.0914e+11,2.0838e+10,1.107e+09,1.35676e+11,5.9719e+10,1.3859e+10,2.3538e+10,9.7116e+10,2.32792e+11,3.2836e+10,NA,3.462e+10,4.012e+09,2.0544e+10,5.5164e+10,4.5049e+10,NA,1.34885e+11,1.77628e+11,2.32792e+11,"Alphabet (Google)",101002
"6677","GPC","2018-12-31","USD",18735073000,-12751286000,5983787000,-4856925000,-4615290000,NA,-241635000,1126862000,-34103000,-101925000,1092759000,-17147000,1075612000,-265138000,810474000,NA,810474000,810474000,810474000,21954000,71101000,-72041000,-73173000,364639000,-148324000,1145164000,-217757000,NA,-278367000,-496124000,-415983000,-59974000,-91983000,-608830000,18648000,115285,2018,"Q4","2019-02-25","2019-02-25",146390000,146929000,333547000,2493636000,3609389000,7575690000,1027231000,NA,4080119000,5107350000,12683040000,4101158000,711147000,5900733000,2432133000,3310316000,9211049000,224317000,NA,4341212000,3471991000,12683040000,"GENUINE PARTS CO",103002
"6686","GPN","2018-05-31","USD",3366366000,-1095014000,2271352000,-1534297000,-1534297000,NA,NA,737055000,-174900000,-174900000,562155000,NA,562155000,-77488000,484667000,NA,452053000,452053000,484667000,143128000,-44526000,NA,NA,NA,NA,1106082000,-1472982000,NA,0,-1476287000,-6332000,540683000,-225390000,286930000,-124977000,182201,2018,"Q4","2019-02-21","2019-02-21",158196000,158666000,1210878000,348400000,NA,3376208000,653542000,NA,9201024000,9854566000,13230774000,1176703000,115075000,3268620000,5015168000,5775811000,9044431000,2235167000,NA,2066415000,4186343000,13230774000,"GLOBAL PAYMENTS INC",100002
"6696","GPOR","2018-12-31","USD",1355044000,-415308000,939736000,-543297000,-56633000,NA,-486664000,396439000,-85753000,-134959000,310686000,119805000,430491000,69000,430560000,NA,430560000,430560000,430560000,-87889000,-76847000,NA,NA,NA,NA,752488000,-867705000,NA,224168000,-643091000,NA,43594000,-200251000,-156657000,-47260000,785453,2018,"Q4","2019-02-28","2019-02-28",171307311,173346982,52297000,210200000,NA,316953000,5479405000,236121000,18557000,5734083000,6051036000,518380000,651000,539432000,2086765000,2183836000,2723268000,4229162000,NA,-845368000,3327768000,6051036000,"GULFPORT ENERGY CORP",107002
"6705","GPRE","2018-12-31","USD",3843353000,-3627633000,215720000,-250341000,-115878000,NA,-103619000,-34621000,-95722000,-97917000,-130343000,150351000,20008000,16726000,36734000,NA,15923000,15923000,36734000,-149534000,48148000,NA,NA,NA,NA,38967000,627463000,NA,-127498000,507465000,-41265000,-492785000,-2978000,-540597000,5835000,627777,2018,"Q4","2019-02-20","2019-08-06",40693000,44429000,251683000,100361000,734883000,1206642000,886576000,NA,123214000,1009790000,2216432000,215874000,593050000,833700000,298190000,319743000,1153443000,696269000,-58162000,324728000,1062989000,2216432000,"Green Plains Inc.",110001
"6711","GPRO","2018-12-31","USD",1148337000,-786903000,361434000,-455396000,-288100000,-167296000,NA,-93962000,-13713000,-18683000,-107675000,NA,-107675000,-1359000,-109034000,NA,-109034000,-109034000,-109034000,51588000,-20051000,NA,NA,NA,NA,-42434000,-6004000,-231000,0,-6235000,NA,0,5169000,-1481000,-50409000,114240,2018,"Q4","2019-02-15","2019-02-15",140885000,140885000,197512000,129216000,116458000,474073000,46567000,NA,177719000,224286000,698359000,284370000,NA,299499000,138992000,186748000,486247000,894755000,-113613000,-569030000,212112000,698359000,"GoPro, Inc.",101001
"6722","GPS","2019-02-28","USD",1.658e+10,-1.0258e+10,6.322e+09,-4.96e+09,NA,NA,NA,1.362e+09,-4e+07,-4e+07,1.322e+09,NA,1.322e+09,-3.19e+08,1.003e+09,NA,1.003e+09,1.003e+09,1.003e+09,1.03e+08,-3.03e+08,NA,NA,NA,NA,1.381e+09,-7.05e+08,1.77e+08,NA,-1.001e+09,-3.73e+08,0,-3.52e+08,-7.49e+08,-3.79e+08,250974,2018,"Q4","2019-03-19","2019-03-19",3.8e+08,3.82e+08,1.369e+09,NA,2.131e+09,4.251e+09,2.912e+09,NA,8.86e+08,3.798e+09,8.049e+09,2.174e+09,NA,2.174e+09,1.249e+09,2.322e+09,4.496e+09,1.9e+07,NA,3.481e+09,3.553e+09,8.049e+09,"GAP INC",103002
"6732","GRA","2018-12-31","USD",1932100000,-1165400000,766700000,-369700000,-3.07e+08,-62700000,NA,3.97e+08,-31900000,-80200000,365100000,-120200000,244900000,-78100000,166800000,0,167600000,167600000,166800000,-4500000,78900000,NA,NA,NA,NA,3.42e+08,-213900000,NA,-4.18e+08,-618500000,-64600000,436200000,-73300000,316500000,37500000,127797,2018,"Q4","2019-02-28","2019-05-08",66800000,66900000,200500000,288500000,281100000,857300000,1011700000,156100000,1540200000,2.708e+09,3565300000,248600000,22300000,514400000,1.961e+09,2713900000,3228300000,481800000,-895500000,676700000,3.37e+08,3565300000,"W R GRACE & CO",110001
"6741","GRC","2018-12-31","USD",414334000,-304413000,109921000,-59282000,-59282000,NA,NA,50639000,-323000,NA,50316000,0,50316000,-10337000,39979000,NA,39979000,39979000,39979000,2876000,-16129000,NA,NA,NA,NA,41210000,-10435000,NA,0,-7468000,-65551000,NA,NA,-65551000,-33222000,122864,2018,"Q4","2019-03-04","2019-04-29",26117214,26117214,46458000,67714000,87387000,208686000,113493000,NA,46103000,159596000,368282000,43233000,NA,48465000,NA,26685000,75150000,7641000,NA,308914000,293132000,368282000,"GORMAN RUPP CO",100001
"6745","GRMM","2018-12-31","USD",8644383,-4378658,4265725,-6249297,-5775937,NA,-473360,-1983572,-986665,-1021801,-2970237,-1892199,-4862436,-14944,-4877380,NA,-4877380,-4877380,-4428964,1796417,-57295,NA,NA,NA,NA,-1865601,-581975,NA,NA,-581975,NA,1891202,608717,2499919,196724,647541,2018,"Q4","2019-04-16","2019-08-14",133906799,133906799,633593,1123493,9018,2215944,1036313,NA,15557866,16594179,18810123,2156419,4505041,8963333,2410614,3064411,12027744,52392840,NA,-45457207,6782379,18810123,"Grom Social Enterprises, Inc.",NA
"6756","GRMN","2018-12-31","USD",3347444000,-1367725000,1979719000,-1201376000,-633571000,-567805000,NA,778343000,44904000,47147000,823247000,NA,823247000,-129167000,694080000,NA,694080000,694080000,694080000,136209000,-6963000,NA,NA,NA,NA,919520000,-158755000,-119578000,-29170000,-307503000,-296148000,NA,9987000,-286161000,310046000,388839,2018,"Q4","2019-02-20","2019-02-20",188877000,190178000,1384721000,569833000,561840000,2665368000,663527000,1330123000,723840000,2717490000,5382858000,824941000,NA,921313000,NA,298571000,1219884000,1841617000,-397692000,2710619000,4162974000,5382858000,"GARMIN LTD",101001
"6765","GRPN","2018-12-31","USD",2636746000,-1316145000,1320601000,-1266562000,-1266562000,NA,NA,54039000,-53008000,NA,1031000,0,1031000,957000,1988000,0,15055000,15055000,1988000,90957000,-17918000,NA,NA,NA,NA,190855000,-86457000,NA,-58119000,-135982000,NA,-1815000,-3870000,-84417000,-40753000,639037,2018,"Q4","2019-02-12","2019-04-30",28519440,28132218,841021000,69493000,NA,998629000,143117000,108515000,391881000,643513000,1642142000,957174000,NA,957174000,201669000,302357000,1259531000,2234636000,-877491000,-1010499000,382611000,1642142000,"Groupon, Inc.",101002
"6771","GRUB","2018-12-31","USD",1007257000,-536599000,470658000,-385695000,-299755000,NA,-85940000,84963000,-3530000,-3530000,81433000,NA,81433000,-2952000,78481000,NA,78481000,78481000,78481000,62537000,-1431000,NA,NA,NA,NA,225527000,-86064000,9969000,-517909000,-594004000,NA,168094000,214190000,346685000,-22437000,433759,2018,"Q4","2019-02-28","2019-05-10",90706000,93144000,225329000,110855000,NA,363775000,119495000,NA,1582438000,1701933000,2065708000,45251000,6250000,223168000,335548000,400201000,623369000,1094875000,NA,349355000,1442339000,2065708000,"GrubHub Inc.",101002
"6778","GSHD","2018-12-31","USD",60148000,-59554000,594000,-14524000,-13060000,NA,-1464000,-13930000,-4288000,-4266000,-18218000,NA,-18218000,-449000,-18667000,NA,-8903000,-8903000,-18667000,26992000,-572000,NA,NA,NA,NA,10275000,-2074000,NA,NA,-2222000,-80059000,-1264000,86915000,5592000,13645000,986860,2018,"Q4","2019-03-14","2020-03-16",13617000,13617000,18635000,NA,NA,22839000,7575000,NA,4384000,11959000,34798000,4354000,2500000,7812000,50495000,52189000,60001000,12261000,NA,-20761000,-25203000,34798000,"Goosehead Insurance, Inc.",104005
"6786","GSIT","2019-03-31","USD",51486000,-19858000,31628000,-31810000,-10455000,-21355000,NA,-182000,450000,671000,268000,NA,268000,-105000,163000,NA,163000,163000,163000,3464000,-2075000,NA,NA,NA,NA,3006000,-2090000,-2134000,NA,-3474000,NA,-364000,3806000,2722000,2254000,48159,2018,"Q4","2019-06-13","2019-11-05",22166000,27216000,61841000,7339000,5685000,77365000,9001000,8997000,10860000,28858000,106223000,8733000,NA,8733000,NA,4335000,13068000,33484000,NA,59708000,93155000,106223000,"GSI TECHNOLOGY INC",101004
"6796","GT","2018-12-31","USD",1.5475e+10,-1.1961e+10,3.514e+09,-2.312e+09,-2.312e+09,NA,NA,1.202e+09,-1.47e+08,-3.21e+08,1.055e+09,-4.4e+07,1.011e+09,-3.03e+08,7.08e+08,NA,6.93e+08,6.93e+08,7.08e+08,-3.09e+08,-2.61e+08,NA,NA,NA,NA,9.16e+08,-8.09e+08,NA,NA,-8.67e+08,-1.38e+08,1.35e+08,-2.16e+08,-2.43e+08,-2.37e+08,378156,2018,"Q4","2019-02-08","2019-02-08",2.33e+08,2.33e+08,8.01e+08,2.03e+09,2.856e+09,5.925e+09,7.259e+09,NA,3.688e+09,1.0947e+10,1.6872e+10,2.92e+09,6.53e+08,4.781e+09,5.11e+09,7.021e+09,1.1802e+10,2.343e+09,NA,6.597e+09,5.07e+09,1.6872e+10,"Goodyear Tire & Rubber",103005
"6799","GTHX","2018-12-31","USD",NA,NA,NA,-89286000,-18603000,-70683000,NA,-89286000,3998000,NA,-85288000,NA,-85288000,NA,-85288000,NA,-85288000,-85288000,-85288000,10233000,573000,NA,NA,NA,NA,-74307000,-709000,NA,NA,-709000,NA,338697000,NA,340494000,265478000,820499,2018,"Q4","2019-02-28","2019-05-09",37295048,37295048,369290000,NA,NA,370133000,1137000,NA,NA,1137000,371270000,12362000,NA,12362000,NA,88000,12450000,573234000,-8000,-214406000,358820000,371270000,"G1 Therapeutics, Inc.",106002
"6808","GTLT","2018-12-31","USD",1490800000,-819400000,671400000,-594600000,-383200000,NA,-211400000,76800000,-274800000,-146900000,-1.98e+08,-50900000,-248900000,5500000,-243400000,NA,-243400000,-243400000,-243400000,178800000,-64400000,NA,NA,NA,NA,82400000,-77800000,NA,-2242700000,-2426300000,NA,2322300000,3e+06,2304300000,-45900000,100512,2018,"Q4","2019-03-01","2019-08-08",55347623,55347623,55300000,174500000,NA,2.79e+08,1870400000,NA,2388200000,4258600000,4537600000,3.16e+08,39900000,446800000,3186700000,3676100000,4122900000,809900000,NA,-368300000,414700000,4537600000,"GTT Communications, Inc.",NA
"6817","GTXI","2018-12-31","USD",NA,NA,NA,-39059000,-9390000,-29669000,NA,-39059000,641000,NA,-38418000,NA,-38418000,NA,-38418000,NA,-38418000,-38418000,-38418000,2363000,-3337000,NA,NA,NA,NA,-39346000,NA,NA,NA,27883000,NA,NA,24577000,23905000,12442000,796059,2018,"Q4","2019-03-18","2019-08-09",3441380,3441380,20645000,NA,NA,21210000,NA,NA,752000,752000,21962000,4331000,NA,4331000,NA,0,4331000,1753000,NA,-31384000,17631000,21962000,"GTX INC /DE/",106002
"6832","GWGH","2018-12-31","USD",-390291,NA,-390291,-119078629,NA,NA,NA,-119468920,NA,NA,-119468920,NA,-119468920,0,-119468920,NA,-119451413,-136114144,-119451413,16298017,7674342,NA,NA,NA,NA,-95479054,NA,NA,NA,-113980388,-16662731,178258491,NA,192124476,-17334966,734810,2018,"Q4","2019-07-09","2019-09-03",6871083,6871083,114587084,NA,NA,326665771,NA,1108764116,45437164,1154201280,1480867051,32536970,NA,548406506,651402663,651402663,1199809169,249695186,NA,-184610343,281057882,1480867051,"GWG Holdings, Inc.",104004
"6842","GWR","2018-12-31","USD",2348550000,-1705113000,643437000,-198480000,NA,NA,NA,444957000,-104651000,-104463000,340306000,-21445000,318861000,-64535000,254326000,NA,244418000,244418000,254326000,37779000,-2228000,NA,NA,NA,NA,553093000,-274623000,NA,7927000,-255446000,NA,205868000,-454512000,-284244000,9915000,447280,2018,"Q4","2019-02-26","2019-02-26",57898000,58615000,90387000,426305000,56716000,627593000,4613014000,NA,2627854000,7240868000,7868461000,453350000,28303000,481653000,2425235000,3756756000,4238409000,1785762000,-699852000,2482252000,3630052000,7868461000,"Genesee & Wyoming Inc",100010
"6850","GWRE","2018-07-31","USD",661067000,-296707000,364360000,-371690000,-200033000,-171657000,NA,-7330000,7348000,6839000,18000,NA,18000,-19683000,-19665000,NA,-19665000,-19665000,-19665000,109106000,15407000,NA,NA,NA,NA,140459000,-9398000,-395514000,-130059000,-537584000,NA,387239000,222961000,5.73e+08,173964000,37120,2018,"Q4","2018-09-19","2018-09-19",80014414,80014414,1067148000,124849000,NA,1222507000,18595000,190952000,546538000,756085000,1978592000,90770000,NA,225188000,305128000,329660000,554848000,1297987000,NA,133505000,1423744000,1978592000,"Guidewire Software, Inc.",101003
"6855","GWRS","2018-12-31","USD",35515000,NA,35515000,-26246000,-12147000,NA,-7469000,9269000,-4384000,-5154000,4885000,NA,4885000,-1782000,3103000,NA,3103000,3103000,3103000,3382000,-2647000,NA,NA,NA,NA,11307000,-4787000,NA,NA,-13325000,-5791000,104000,16700000,9526000,7508000,761716,2018,"Q4","2019-03-07","2019-05-09",21514019,21558872,12756000,1488000,NA,17334000,227055000,NA,18072000,245127000,262461000,8069000,47000,9576000,114507000,225014000,234590000,27872000,-1000,0,27871000,262461000,"Global Water Resources, Inc.",105001
"6867","GWW","2018-12-31","USD",1.1221e+10,-6.873e+09,4.348e+09,-3.19e+09,-3.19e+09,NA,NA,1.158e+09,-7.7e+07,-8.2e+07,1.081e+09,NA,1.081e+09,-2.58e+08,8.23e+08,NA,7.82e+08,7.82e+08,8.23e+08,2.11e+08,-2.34e+08,NA,NA,NA,NA,1.057e+09,-1.53e+08,NA,-1.3e+07,-1.66e+08,-3.16e+08,-1.01e+08,-2.44e+08,-6.7e+08,2.11e+08,504823,2018,"Q4","2019-02-28","2019-02-28",55887954,56376993,5.38e+08,1.385e+09,1.541e+09,3.557e+09,1.352e+09,NA,9.64e+08,2.316e+09,5.873e+09,1.371e+09,1.3e+08,1.501e+09,2.09e+09,2.279e+09,3.78e+09,1.189e+09,-6.966e+09,7.869e+09,2.093e+09,5.873e+09,"GRAINGER W W INC",100005
"6884","H","2018-12-31","USD",4.454e+09,-3.475e+09,9.79e+08,-6.47e+08,-3.2e+08,NA,-3.27e+08,3.32e+08,-1.17e+08,-7.6e+07,2.15e+08,7.36e+08,9.51e+08,-1.82e+08,7.69e+08,NA,7.69e+08,7.69e+08,7.69e+08,-6.42e+08,-7.9e+07,NA,NA,NA,NA,3.75e+08,-2.97e+08,-4.1e+07,-6.61e+08,3.4e+08,-6.8e+07,1.85e+08,-9.46e+08,-8.5e+08,-1.3e+08,133448,2018,"Q4","2019-02-14","2019-05-02",108468261,110046889,6.86e+08,4.27e+08,1.4e+07,1.345e+09,3.608e+09,2.33e+08,2.457e+09,6.298e+09,7.643e+09,6.62e+08,1.1e+07,1.061e+09,1.623e+09,2.905e+09,3.966e+09,5.1e+07,NA,3.819e+09,3.677e+09,7.643e+09,"Hyatt Hotels Corp",103015
"6889","HABT","2018-12-31","USD",402147000,-254566000,147581000,-139116000,-38918000,NA,-24490000,8465000,-1018000,-1018000,7447000,-4864000,2583000,1057000,3640000,NA,2777000,2777000,3640000,5991000,7975000,NA,NA,NA,NA,42096000,-43399000,NA,NA,-43399000,NA,NA,NA,-2080000,-3383000,639722,2018,"Q4","2019-03-01","2019-05-02",20657714,20944686,24519000,7648000,2019000,37944000,160746000,NA,113916000,274662000,312606000,37148000,NA,39262000,NA,123350000,162612000,117314000,NA,6921000,149994000,312606000,"Habit Restaurants, Inc.",103003
"6900","HAL","2018-12-31","USD",2.3995e+10,-2.1009e+10,2.986e+09,-2.54e+08,-2.54e+08,NA,NA,2.732e+09,-6.53e+08,-5.54e+08,2.079e+09,-2.65e+08,1.814e+09,-1.57e+08,1.657e+09,0,1.656e+09,1.656e+09,1.657e+09,2.78e+08,-3.84e+08,NA,NA,NA,NA,3.157e+09,-1.808e+09,1.04e+08,-1.87e+08,-1.993e+09,-6.3e+08,-4.45e+08,-2.05e+08,-1.419e+09,-3.29e+08,378158,2018,"Q4","2019-02-13","2019-02-13",8.71e+08,8.72e+08,2.008e+09,5.234e+09,3.028e+09,1.1151e+10,8.961e+09,NA,5.87e+09,1.4831e+10,2.5982e+10,3.732e+09,3.6e+07,4.802e+09,1.0421e+10,1.1636e+10,1.6438e+10,2.882e+09,-6.744e+09,1.3739e+10,9.544e+09,2.5982e+10,"Halliburton Co.",107004
"6909","HALO","2018-12-31","USD",151862000,-10136000,141726000,-211056000,-60804000,-150252000,NA,-69330000,-10463000,-18041000,-79793000,NA,-79793000,-537000,-80330000,NA,-80330000,-80330000,-80330000,31308000,-2866000,NA,NA,NA,NA,-49500000,-4663000,7156000,NA,2493000,NA,-77516000,13719000,-63797000,-110804000,365463,2018,"Q4","2019-02-21","2019-02-21",144223000,144223000,354526000,30005000,22625000,427849000,7465000,NA,4934000,12399000,440248000,53608000,91506000,149361000,34874000,4.2e+07,191361000,780602000,NA,-531438000,248887000,440248000,"HALOZYME THERAPEUTICS INC",106002
"6927","HAS","2018-12-31","USD",4579646000,-1850678000,2728968000,-2397916000,-1727482000,-246165000,-72609000,331052000,-60650000,-68469000,270402000,NA,270402000,-49968000,220434000,NA,220434000,220434000,220434000,19206000,238399000,NA,NA,NA,NA,645997000,-140426000,NA,-155451000,-286477000,-309258000,-142357000,-220055000,-737101000,-398863000,249756,2018,"Q4","2019-02-26","2019-02-26",126583000,126583000,1182371000,1188052000,443383000,3082504000,256473000,NA,1924011000,2180484000,5262988000,1264584000,9740000,1274324000,1695092000,2234178000,3508502000,1379906000,-3515280000,4184374000,1754486000,5262988000,"HASBRO INC",103015
"6936","HAYN","2018-09-30","USD",435326000,-387648000,47678000,-50896000,-47111000,-3785000,NA,-3218000,-836000,-836000,-4054000,NA,-4054000,-17697000,-21751000,NA,-21751000,-21751000,-21751000,39788000,-54928000,NA,NA,NA,NA,-13737000,-11085000,NA,NA,-11085000,-11013000,-258000,-223000,-11494000,-36526000,358061,2018,"Q4","2018-11-15","2018-11-15",12422390,12415246,9802000,73437000,273045000,366349000,179400000,NA,42945000,222345000,588694000,59698000,NA,62198000,NA,193276000,255474000,251066000,-1869000,126588000,333220000,588694000,"HAYNES INTERNATIONAL INC",100001
"6947","HBI","2018-12-31","USD",6803955000,-4147436000,2656519000,-1788568000,NA,NA,NA,867951000,-221070000,-194675000,646881000,NA,646881000,-93797000,553084000,0,553084000,553084000,553084000,51706000,-93184000,NA,NA,NA,NA,643402000,-83736000,NA,-334915000,-418651000,-216316000,-177396000,0,-200497000,34166000,331419,2018,"Q4","2019-02-11","2019-02-11",366649000,366837000,433022000,870878000,2054458000,3517589000,607688000,NA,3130681000,3738369000,7255958000,1029933000,446408000,2030242000,3534183000,4255433000,6285675000,288490000,NA,1184735000,970283000,7255958000,"Hanesbrands Inc.",103004
"6956","HCA","2018-12-31","USD",4.6677e+10,-7.724e+09,3.8953e+10,-3.2311e+10,-2.1425e+10,NA,-2.278e+09,6.642e+09,-1.726e+09,-1.755e+09,4.916e+09,4.19e+08,5.335e+09,-9.46e+08,4.389e+09,NA,3.787e+09,3.787e+09,4.389e+09,6.1e+07,3.3e+07,NA,NA,NA,NA,6.761e+09,-3.573e+09,NA,-4.45e+08,-3.901e+09,-4.87e+08,-3.44e+08,-1.53e+09,-3.075e+09,-2.3e+08,378161,2018,"Q4","2019-02-21","2019-05-03",343900000,352785000,5.02e+08,6.789e+09,1.732e+09,1.0213e+10,1.9757e+10,5.94e+08,8.643e+09,2.8994e+10,3.9207e+10,6.781e+09,7.88e+08,7.569e+09,3.2033e+10,3.4556e+10,4.2125e+10,3e+06,NA,-4.572e+09,-2.918e+09,3.9207e+10,"HCA Holdings",106011
"6965","HCCI","2018-12-31","USD",410183000,-323165000,87018000,-65477000,-47714000,NA,-16157000,21541000,-1052000,-1052000,20489000,NA,20489000,-5451000,15038000,NA,14728000,14728000,15038000,10290000,-11413000,NA,NA,NA,NA,30072000,-22731000,NA,-4805000,-27536000,NA,0,544000,-846000,1690000,861202,2018,"Q4","2019-01-17","2019-03-06",23065000,23609000,43579000,51744000,33059000,135217000,163801000,NA,48804000,212605000,347822000,44774000,NA,50029000,29046000,43562000,93591000,197764000,NA,55819000,254231000,347822000,"Heritage-Crystal Clean, Inc.",100001
