"","X.1","X","h_hotelid","h_in_page","hotel_name","hotel_loc","h_dist_centro","h_dist_praia","h_num_stars","h_num_comments","h_prices","h_peq_almoco","h_canc_gratuito","h_quartos_restantes","h_score_medio","zona_central","zona_oeste","zona_sul"
"165",165,165,1043631,6,"Injoy H & Suítes"," Botafogo",5,0.8,NA,980,23,0,0,1,8.9,0,0,1
"166",166,166,5867066,6,"Hotel Be Loft Lounge"," Barra da Tijuca",17,1.2,4,108,30,0,0,1,8.9,0,1,0
"167",167,167,683865,6,"Hotel Único"," Flamengo",3.1,0.55,1,606,22,1,1,1,7.8,0,0,1
"168",168,168,1631024,6,"El Misti Hostel Ipanema"," Ipanema",9,0,NA,1722,23,0,0,1,8.5,0,0,1
"169",169,169,1887100,6,"Le Chateaux Joá Boutique Hotel"," Joatinga",16,0.2,5,124,166,1,1,1,9.1,0,1,0
"170",170,170,322563,7,"Pura Vida Hostel"," Copacabana",8,0.8,NA,533,26,0,0,1,7.3,0,0,1
"171",171,171,471730,7,"Boulevard Bed & Breakfast"," Copacabana",7,0.8,NA,871,24,0,0,1,7.3,0,0,1
"172",172,172,2491648,7,"Hostel Apoteose"," Rio de JaneiroMostrar no mapa",2.3,2.9,NA,485,13,0,0,1,7.8,1,0,0
"173",173,173,5330677,7,"Bossa Nova Apartamento luxo Copacabana"," Copacabana",7,0.6,NA,11,82,0,0,1,9.6,0,0,1
"174",174,174,1962448,7,"Villa 25"," Laranjeiras",3.4,1,NA,1354,25,1,1,1,8.9,0,0,1
"175",175,175,2397972,7,"Hotel Ferreira Viana"," Flamengo",2.9,0.5,NA,353,16,1,1,1,8.5,0,0,1
"176",176,176,1703829,7,"Residence Inn by Marriott Rio de Janeiro Barra da Tijuca"," Barra da Tijuca",24,NA,4,81,66,1,1,0,8.8,0,1,0
"177",177,177,2673883,7,"Barra First Class"," Barra da Tijuca",24,NA,3,170,47,0,0,1,7.1,0,1,0
"178",178,178,1900211,7,"Hotel Barao Da Taquara"," Rio de JaneiroMostrar no mapa",18,NA,NA,126,30,1,1,1,7.2,1,0,0
"179",179,179,281022,7,"Books Hostel"," Centro do Rio de Janeiro",1.6,1.9,NA,396,38,1,1,1,8.6,1,0,0
"180",180,180,877548,7,"Villa Franca"," Santa Teresa",2.4,2,3,218,38,0,0,1,9.3,1,0,0
"181",181,181,1873186,7,"Beach House Barra da Tijuca"," Barra da Tijuca",17,1.4,NA,460,25,0,0,1,7.3,0,1,0
"182",182,182,2657978,7,"Hotel Vanity"," Copacabana",8,0.6,NA,70,39,1,1,0,6.5,0,0,1
"183",183,183,349492,7,"Arosa Rio Hotel"," Centro do Rio de Janeiro",1.8,2.7,4,567,39,1,1,1,8.4,1,0,0
