"","X","h_hotelid","h_in_page","hotel_name","hotel_loc","h_dist_centro","h_dist_praia","h_num_stars","h_num_comments","h_prices","h_peq_almoco","h_canc_gratuito","h_quartos_restantes","h_score_medio"
"85",85,742894,3,"Ibis Rio de Janeiro Centro"," Centro do Rio de Janeiro","750 m do centro"," A 2,6 km da praia",3,"496","€ 30",0,0,"0","7,9"
"86",86,281033,3,"Diamond Hotel"," Glória","1,9 km do centro"," A 1,4 km da praia",3,"2 163","€ 24",1,1,"1","8,1"
"87",87,2311215,3,"Ibis Budget Rio de Janeiro Nova America"," Zona Norte","9 km do centro","",2,"2 139","€ 30",0,0,"0","8,2"
"88",88,18657,3,"Jucati Season Apartments"," Copacabana","7 km do centro"," A 1,1 km da praia",3,"649","€ 25",0,0,"0","8,4"
"89",89,1096720,3,"Novotel Rio de Janeiro Parque Olimpico"," Barra da Tijuca","21 km do centro","",4,"564","€ 46",0,0,"0","8,3"
"90",90,172111,3,"Premier Copacabana Hotel"," Copacabana","7 km do centro"," A 850 m da praia",4,"1 558","€ 38",1,1,"0","7,7"
"91",91,248692,3,"Novotel Rio de Janeiro Santos Dumont"," Centro do Rio de Janeiro","1,2 km do centro"," A 2,2 km da praia",4,"422","€ 49",0,0,"0","8,2"
"92",92,677448,3,"Linx Galeão"," Ilha do Governador","12 km do centro","",3,"2 502","€ 42",0,0,"1","8,1"
"93",93,1505796,3,"Royalty Rio Hotel"," Copacabana","7 km do centro"," A 500 m da praia",4,"640","€ 41",1,1,"1","7,7"
"94",94,173056,3,"Majestic Rio Palace Hotel"," Copacabana","7 km do centro"," A 650 m da praia",3,"598","€ 28",1,1,"0","7,9"
"95",95,1834337,3,"Laghetto Stilo Barra Rio"," Barra da Tijuca","21 km do centro","",4,"1 696","€ 67",1,1,"1","8,6"
"96",96,392238,3,"Fluminense Hotel"," Centro do Rio de Janeiro","1,4 km do centro"," A 2,2 km da praia",3,"1 266","€ 24",1,1,"0","8,5"
"97",97,23346,3,"Own Ipanema Visconti"," Ipanema","9 km do centro"," A 650 m da praia",4,"986","€ 60",1,1,"0","8,2"
"98",98,1337064,3,"KS Beach Hotel"," Recreio dos Bandeirantes","33 km do centro"," Em frente à praia",3,"775","€ 42",1,1,"1","8,5"
"99",99,1013494,4,"Hotel Carioca"," Centro do Rio de Janeiro","1,2 km do centro"," A 2,4 km da praia",2,"1 761","€ 18",1,1,"0","8,1"
"100",100,11842,4,"Oceano Copacabana Hotel"," Copacabana","7 km do centro"," A 750 m da praia",3,"1 240","€ 39",1,1,"0","6,3"
"101",101,249045,4,"Entremares Hotel"," Barra da Tijuca","17 km do centro"," A 1,8 km da praia",3,"1 001","€ 30",1,1,"1","8,2"
"102",102,238812,4,"Américas Gaivota Hotel"," Barra da Tijuca","18 km do centro"," A 1,9 km da praia",3,"2 228","€ 29",1,1,"1","7,4"
"103",103,1664639,4,"Hotel Plaza Spania"," Botafogo","5 km do centro"," A 350 m da praia",3,"825","€ 39",1,1,"1","8,5"
"104",104,189280,4,"Praia Ipanema Hotel"," Ipanema","10 km do centro"," Em frente à praia",4,"1 231","€ 94",1,1,"1","8,1"
"105",105,402755,4,"Windsor Copa Hotel"," Copacabana","7 km do centro"," A 1,1 km da praia",3,"716","€ 40",1,1,"0","8,5"
"106",106,284148,4,"Elegance Praia Hotel"," Flamengo","3 km do centro"," A 400 m da praia",3,"933","€ 46",1,1,"0","8,6"
"107",107,432196,4,"Ritz Leblon"," Leblon","10 km do centro"," A 450 m da praia",4,"689","€ 86",1,1,"0","8,1"
"108",108,285730,4,"Gallant Hotel"," Zona Norte","3,5 km do centro","",3,"1 216","€ 26",0,0,"0","7,9"
"109",109,317506,4,"OYO Rio Colinas Hotel"," Copacabana","9 km do centro"," A 700 m da praia",3,"839","€ 27",1,1,"0","6,5"
"110",110,300608,4,"Hotel Copamar"," Copacabana","7 km do centro"," A 600 m da praia",3,"578","€ 28",1,1,"1","8,2"
"111",111,1233654,4,"Ibis Rio de Janeiro Parque Olimpico"," Barra da Tijuca","21 km do centro","",3,"1 490","€ 39",0,0,"0","8,2"
"112",112,439969,4,"Quality Rio de Janeiro - Barra da Tijuca"," Barra da Tijuca","23 km do centro","",4,"1 899","€ 45",1,1,"0","8,5"
"113",113,6415077,4,"Tulip Inn Rio de Janeiro Ipanema"," Ipanema","9 km do centro"," A 450 m da praia",3,"122","€ 52",1,1,"0","8,1"
"114",114,236372,4,"Hotel Americano"," Centro do Rio de Janeiro","1,6 km do centro"," A 1,6 km da praia",1,"549","€ 12",0,0,"1","7,1"
"115",115,1785648,4,"Novotel Rj Porto Atlantico"," Porto Maravilha","2,6 km do centro","",4,"263","€ 44",0,0,"0","8,2"
"116",116,11848,4,"Apa Hotel Copacabana"," Copacabana","7 km do centro"," A 1,1 km da praia",3,"493","€ 31",1,1,"0","8,2"
"117",117,1332663,4,"Samba Rio Convention"," Jacarepaguá","23 km do centro","",4,"675","€ 35",1,1,"0","8,5"
"118",118,23347,4,"Promenade Palladium"," Leblon","10 km do centro"," A 300 m da praia",4,"553","€ 104",1,1,"1","8,7"
"119",119,2082086,4,"Injoy Lofts Ipanema"," Ipanema","9 km do centro"," A 900 m da praia",3,"519","€ 44",0,0,"1","8,5"
"120",120,1038439,4,"Hotel Plaza Riazor"," Catete","2,8 km do centro"," A 650 m da praia",1,"1 216","€ 14",1,1,"1","7,3"
"121",121,19405,4,"Windsor Flórida"," Flamengo","2,9 km do centro"," A 600 m da praia",4,"1 724","€ 44",1,1,"0","8,5"
"122",122,2312705,4,"Lapa Ville Hotel"," Centro do Rio de Janeiro","1,6 km do centro"," A 1,6 km da praia",NA,"1 144","€ 19",0,0,"1","8,5"
"123",123,1086311,5,"Residencial Budget"," Copacabana","7 km do centro"," A 850 m da praia",3,"826","€ 28",1,1,"1","8,6"
"124",124,315321,5,"Hotel Venezuela"," Flamengo","3,6 km do centro"," Em frente à praia",2,"520","€ 21",1,1,"1","7,7"
"125",125,408824,5,"Brisa Barra Hotel"," Barra da Tijuca","21 km do centro"," Em frente à praia",4,"1 063","€ 62",1,1,"0","8,5"
"126",126,47473,5,"Mercure RJ Botafogo Mourisco"," Botafogo","5 km do centro"," A 700 m da praia",4,"295","€ 54",0,0,"0","8,2"
"127",127,14955,5,"Santa Teresa Hotel RJ - MGallery"," Santa Teresa","2,5 km do centro"," A 1,9 km da praia",5,"235","€ 240",1,1,"1","9,0"
"128",128,495410,5,"Hotel Galícia"," Centro do Rio de Janeiro","1,4 km do centro"," A 2,6 km da praia",2,"1 099","€ 15",1,1,"0","6,6"
"129",129,1041867,5,"Promenade Link Stay"," Barra da Tijuca","21 km do centro","",4,"1 345","€ 35",1,1,"0","8,2"
"130",130,618239,5,"Sant' Martre"," Santa Teresa","2,5 km do centro"," A 1,8 km da praia",3,"299","€ 40",0,0,"1","8,4"
"131",131,331193,5,"Hotel Vilamar Copacabana"," Copacabana","8 km do centro"," A 400 m da praia",4,"807","€ 38",1,1,"0","8,7"
"132",132,3965506,5,"L'Homme de Rio Boutique Hotel"," Copacabana","9 km do centro"," A 650 m da praia",NA,"269","€ 79",1,1,"1","8,8"
"133",133,189027,5,"Hotel Golden Park Aeroporto Rio de Janeiro"," Glória","2,4 km do centro"," A 800 m da praia",3,"962","€ 26",1,1,"0","8,1"
"134",134,15762,5,"Mengo Palace Hotel"," Flamengo","3 km do centro"," Em frente à praia",3,"1 598","€ 31",1,1,"1","8,4"
"135",135,1977777,5,"ibis Rio Porto Atlantico"," Porto Maravilha","2,6 km do centro","",3,"279","€ 31",0,0,"0","8,9"
"136",136,1709033,5,"Venit Barra Hotel"," Barra da Tijuca","23 km do centro","",4,"549","€ 53",1,1,"0","8,8"
"137",137,1454231,5,"Hotel Vitória"," Catete","2,9 km do centro"," A 650 m da praia",NA,"1 234","€ 15",1,1,"1","8,0"
"138",138,189064,5,"Hotel Rondônia Palace"," Flamengo","3,1 km do centro"," A 550 m da praia",3,"675","€ 27",1,1,"0","8,1"
"139",139,1816965,5,"Residencial Sausalito"," Copacabana","7 km do centro"," A 850 m da praia",4,"799","€ 23",1,1,"0","8,4"
"140",140,12169,5,"The Villa"," Santa Teresa","4,1 km do centro"," A 1,9 km da praia",4,"561","€ 79",1,1,"1","8,1"
"141",141,274872,5,"Argentina Hotel"," Flamengo","4 km do centro"," A 1 km da praia",3,"1 051","€ 21",1,1,"1","8,0"
"142",142,1883840,5,"Selina Lapa Rio de Janeiro"," Centro do Rio de Janeiro","1,4 km do centro"," A 1,8 km da praia",3,"3 020","€ 78",0,0,"0","8,7"
"143",143,351795,5,"Itajubá Hotel"," Centro do Rio de Janeiro","1,2 km do centro"," A 2 km da praia",2,"993","€ 25",1,1,"1","7,8"
"144",144,816746,5,"Hotel Rio Claro"," Flamengo","3 km do centro"," A 650 m da praia",NA,"879","€ 15",1,1,"1","8,0"
"145",145,189951,5,"Mar Palace Copacabana Hotel"," Copacabana","7 km do centro"," A 750 m da praia",4,"1 032","€ 36",1,1,"0","8,5"
"146",146,636883,5,"Ibiza Barra Hotel"," Barra da Tijuca","17 km do centro"," A 1,3 km da praia",3,"641","€ 27",1,1,"0","6,8"
